,Predictions,Actual
0,-0.75668025,-1.6120651
1,-0.96228546,-1.8256505
2,-0.9945787,-1.7544553
3,-0.99896353,-1.4696748
4,-0.97677845,-1.6120651
5,-0.9977242,-1.2560894
6,-0.9981869,-1.3984797
7,-0.99958247,-1.4696748
8,-0.9993065,-2.181626
9,-0.99916744,-1.7544553
10,-0.9995933,-1.1848943
11,-0.99943465,-1.8968456
12,-0.99951565,-1.9680408
13,-0.99952066,-0.9713089
14,-0.8892952,-1.6832602
15,-0.99414426,-2.9647727
16,-0.99994123,-2.537602
17,-0.99991536,-1.6832602
18,-0.999537,-0.6153332
19,-0.78820455,-0.40174782
20,-0.50119156,-0.6153332
21,-0.2928977,-0.9713089
22,-0.993048,-0.9713089
23,-0.9981269,-0.9713089
24,-0.9994266,-1.3272846
25,-0.99961406,-1.0425041
26,-0.8945694,-1.1848943
27,-0.9995983,-1.1848943
28,-0.99935585,-0.82891864
29,-0.1905363,-0.47294295
30,-0.7747978,-1.3984797
31,-0.99900514,-1.1848943
32,-0.9932427,-2.0392358
33,-0.9999639,-2.6799922
34,-0.9998068,-1.6120651
35,-0.9988493,-0.7577235
36,-0.95746297,-1.6832602
37,-0.9947483,-2.6799922
38,-0.99973303,-2.3240163
39,-0.9999262,-1.6120651
40,-0.99978477,-0.18816242
41,-0.11332154,-0.3305527
42,-0.83856034,-1.8256505
43,-0.9979674,-2.181626
44,-0.9997274,-1.2560894
45,-0.9999193,-2.181626
46,-0.9998455,-2.9647727
47,-0.99964297,-2.608797
48,-0.99807835,-1.3984797
49,-0.984615,-0.82891864
50,-0.8564691,-1.6120651
51,-0.9975606,-2.537602
52,-0.9998493,-1.8256505
53,-0.9998286,-1.3984797
54,-0.99933285,-0.25935757
55,-0.3557216,-0.82891864
56,-0.55884594,-0.18816242
57,-0.48039746,-0.045772154
58,-0.063737646,-0.11696729
59,-0.14686087,0.16781324
60,-0.06249355,-0.045772154
61,-0.6685101,-0.9713089
62,-0.7895535,-0.5441381
63,-0.05311415,0.23900838
64,-0.29548216,-0.3305527
65,-0.78599685,-0.6153332
66,-0.9238711,-1.8968456
67,-0.99479353,-1.8256505
68,-0.99498826,-0.6153332
69,-0.09495252,-0.18816242
70,-0.86792445,-1.3984797
71,-0.9951965,-2.4664068
72,-0.99967533,-2.181626
73,-0.99993914,-1.7544553
74,-0.9997848,-1.1848943
75,-0.7486639,-1.2560894
76,-0.9624688,-1.3272846
77,-0.99728876,-1.54087
78,-0.9997386,-0.6865284
79,-0.30076185,-0.045772154
80,-0.44783315,-0.7577235
81,-0.8910313,-1.3272846
82,-0.9995405,-0.6153332
83,-0.028246135,-0.18816242
84,-0.9784609,-1.0425041
85,-0.9991663,-1.1136992
86,-0.87590957,-0.40174782
87,-0.62817144,-0.6153332
88,-0.65179247,-0.82891864
89,-0.95657843,-0.25935757
90,-0.09852246,-0.11696729
91,-0.88312715,-1.1848943
92,-0.9974129,-0.90011376
93,-0.28079593,-0.9713089
94,-0.9506879,-0.7577235
95,-0.5443687,0.09661811
96,-0.04080696,0.38139865
97,-0.33427018,-0.47294295
98,-0.7834648,-0.6153332
99,-0.013524445,0.16781324
100,0.38081655,0.38139865
101,0.28956693,0.38139865
102,-0.11263256,0.45259377
103,-0.33190426,-0.47294295
104,-0.5412392,-0.7577235
105,-0.49623582,-0.9713089
106,-0.95400006,-0.6153332
107,-0.15569435,-0.47294295
108,-0.5836791,-0.40174782
109,-0.27008322,0.09661811
110,-0.09246616,0.16781324
111,-0.07429431,0.31020352
112,-0.40199894,0.16781324
